City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date Time
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Qaanaaq,GL,77.48,-69.36,21.44,85,36,6.73,2018-05-28 20:36:09
Taoudenni,ML,22.68,-3.98,74.99,19,0,7.63,2018-05-28 20:36:10
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Cidreira,BR,-30.17,-50.22,61.49,84,0,8.63,2018-05-28 20:36:13
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Cape Town,ZA,-33.93,18.42,55.4,82,40,5.82,2018-05-28 20:00:00
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Tura,IN,25.52,90.21,73.55,95,92,8.97,2018-05-28 20:36:18
Saint Anthony,US,43.97,-111.68,67.39,49,40,11.41,2018-05-28 20:09:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Lebu,ET,8.96,38.73,45.11,92,0,2.71,2018-05-28 20:36:21
Saint-Joseph,FR,43.56,6.97,61.99,93,0,3.36,2018-05-28 20:30:00
San Cristobal,EC,-0.39,-78.55,51.8,87,20,6.93,2018-05-28 20:00:00
Ostrovnoy,RU,68.05,39.51,42.59,98,76,3.6,2018-05-28 20:36:25
Bethel,US,60.79,-161.76,55.4,43,40,14.99,2018-05-28 19:53:00
Saint George,GR,39.45,22.34,66.2,68,40,4.7,2018-05-28 19:50:00
Arraial do Cabo,BR,-22.97,-42.02,68.15,100,44,9.75,2018-05-28 20:36:30
Upernavik,GL,72.79,-56.15,28.91,94,76,7.4,2018-05-28 20:36:31
Boca do Acre,BR,-8.76,-67.39,76.16,90,8,1.92,2018-05-28 20:36:32
Dikson,RU,73.51,80.55,26.66,100,80,12.21,2018-05-28 20:36:33
Seoul,KR,37.57,126.98,71.26,68,90,9.17,2018-05-28 20:00:00
Lere,TD,9.66,14.23,76.79,78,24,5.39,2018-05-28 20:36:36
Fortuna,ES,38.18,-1.13,64.4,88,20,1.92,2018-05-28 20:30:00
Namibe,AO,-15.19,12.15,71.84,100,0,7.63,2018-05-28 20:36:38
Marsh Harbour,BS,26.54,-77.06,79.04,97,64,20.04,2018-05-28 20:36:40
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Port Hardy,CA,50.7,-127.42,55.4,54,20,13.87,2018-05-28 20:00:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Port Elgin,CA,44.44,-81.39,69.8,68,75,2.24,2018-05-28 20:00:00
Tiksi,RU,71.64,128.87,37.19,97,92,3.15,2018-05-28 20:36:47
Hami,CN,42.84,93.51,83.36,36,36,4.94,2018-05-28 20:36:48
Axim,GH,4.87,-2.24,80.39,99,88,8.3,2018-05-28 20:36:49
Atuona,PF,-9.8,-139.03,80.03,100,8,16.58,2018-05-28 20:36:51
Pederneiras,BR,-22.35,-48.78,66.2,63,0,6.93,2018-05-28 20:00:00
Atar,MR,20.52,-13.05,70.76,37,0,5.5,2018-05-28 20:36:53
Carnarvon,ZA,-30.97,22.13,38.63,98,56,9.19,2018-05-28 20:36:54
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Port Elizabeth,US,39.31,-74.98,63.52,87,90,8.05,2018-05-28 20:12:00
Punta Arenas,CL,-53.16,-70.91,41,75,40,26.4,2018-05-28 20:00:00
Hermanus,ZA,-34.42,19.24,49.7,100,80,3.27,2018-05-28 20:36:14
Tilichiki,RU,60.47,166.1,37.46,100,80,3.38,2018-05-28 20:37:00
Chokurdakh,RU,70.62,147.9,36.38,95,0,15.23,2018-05-28 20:37:02
Mildura,AU,-34.18,142.16,58.88,95,0,11.43,2018-05-28 20:37:03
Rikitea,PF,-23.12,-134.97,77.42,100,0,15.46,2018-05-28 20:36:11
Nhulunbuy,AU,-12.18,136.78,82.4,65,40,13.87,2018-05-28 20:00:00
Hasaki,JP,35.73,140.83,77,65,75,5.82,2018-05-28 20:00:00
Egvekinot,RU,66.32,-179.17,35.39,93,0,3.15,2018-05-28 20:37:07
Hilo,US,19.71,-155.08,82.4,65,1,11.41,2018-05-28 19:53:00
Verkh-Usugli,RU,52.7,115.17,69.86,54,0,5.39,2018-05-28 20:37:10
Arraial do Cabo,BR,-22.97,-42.02,68.15,100,44,9.75,2018-05-28 20:36:30
Noumea,NC,-22.28,166.46,75.2,57,0,11.41,2018-05-28 20:00:00
Lewistown,US,40.39,-90.15,83.3,62,1,6.62,2018-05-28 20:15:00
Barrow,AR,-38.31,-60.23,48.71,73,64,3.15,2018-05-28 20:37:15
Necochea,AR,-38.55,-58.74,52.49,97,64,4.38,2018-05-28 20:34:28
Kaitangata,NZ,-46.28,169.85,43.76,86,0,2.37,2018-05-28 20:37:17
Esperance,TT,10.24,-61.45,77,88,20,3.36,2018-05-28 20:00:00
Valdivia,CL,-39.81,-73.25,48.2,93,20,1.12,2018-05-28 20:00:00
Bredasdorp,ZA,-34.53,20.04,53.6,87,88,5.82,2018-05-28 20:00:00
Port Alfred,ZA,-33.59,26.89,61.4,100,20,14.79,2018-05-28 20:36:16
Geraldton,CA,49.72,-86.95,69.8,40,20,6.93,2018-05-28 20:00:00
Vaini,IN,15.34,74.49,79.31,84,20,7.18,2018-05-28 20:37:25
Ambon,FR,47.55,-2.56,64.4,88,0,5.82,2018-05-28 20:30:00
Bandarbeyla,SO,9.49,50.81,80.12,87,0,27.54,2018-05-28 20:37:27
Ilulissat,GL,69.22,-51.1,33.8,69,80,4.7,2018-05-28 19:50:00
Mataura,NZ,-46.19,168.86,42.86,89,0,4.5,2018-05-28 20:36:55
Maniitsoq,GL,65.42,-52.9,29.99,97,88,2.15,2018-05-28 20:37:31
Kapaa,US,22.08,-159.32,79.63,78,90,12.75,2018-05-28 19:56:00
Kaitangata,NZ,-46.28,169.85,43.76,86,0,2.37,2018-05-28 20:37:17
Rio Gallegos,AR,-51.62,-69.22,37.4,69,0,16.11,2018-05-28 20:00:00
Ushuaia,AR,-54.81,-68.31,35.6,69,20,4.7,2018-05-28 20:00:00
